"rok","prumerna_mzda","nazev_odvetvi"
2015,28409,Veřejná správa a obrana; povinné sociální zabezpečení
2015,40515,"Výroba a rozvod elektřiny, plynu, tepla a klimatiz. vzduchu"
2015,23103,Vzdělávání
2015,24367,Zásobování vodou; činnosti související s odpady a sanacemi
2015,25352,Zdravotní a sociální péče
2015,21232,"Zemědělství, lesnictví, rybářství"
2015,26132,Zpracovatelský průmysl
2016,17537,Administrativní a podpůrné činnosti
2016,23636,Činnosti v oblasti nemovitostí
2016,25506,Doprava a skladování
2016,49161,Informační a komunikační činnosti
2016,22202,"Kulturní, zábavní a rekreační činnosti"
2016,19150,Ostatní činnosti
2016,48683,Peněžnictví a pojišťovnictví
2016,33142,"Profesní, vědecké a technické činnosti"
2016,24551,Stavebnictví
2016,31348,Těžba a dobývání
2016,15042,"Ubytování, stravování a pohostinství"
2016,25070,Velkoobchod a maloobchod; opravy a údržba motorových vozidel
2016,30008,Veřejná správa a obrana; povinné sociální zabezpečení
2016,40956,"Výroba a rozvod elektřiny, plynu, tepla a klimatiz. vzduchu"
2016,23939,Vzdělávání
2016,25008,Zásobování vodou; činnosti související s odpady a sanacemi
2016,26578,Zdravotní a sociální péče
2016,22240,"Zemědělství, lesnictví, rybářství"
2016,27238,Zpracovatelský průmysl
2017,18861,Administrativní a podpůrné činnosti
2017,25195,Činnosti v oblasti nemovitostí
2017,27152,Doprava a skladování
2017,51641,Informační a komunikační činnosti
2017,24199,"Kulturní, zábavní a rekreační činnosti"
2017,20018,Ostatní činnosti
2017,50524,Peněžnictví a pojišťovnictví
2017,35011,"Profesní, vědecké a technické činnosti"
2017,25703,Stavebnictví
2017,33462,Těžba a dobývání
2017,16889,"Ubytování, stravování a pohostinství"
2017,26958,Velkoobchod a maloobchod; opravy a údržba motorových vozidel
2017,32442,Veřejná správa a obrana; povinné sociální zabezpečení
2017,43219,"Výroba a rozvod elektřiny, plynu, tepla a klimatiz. vzduchu"
2017,25359,Vzdělávání
2017,26576,Zásobování vodou; činnosti související s odpady a sanacemi
2017,28920,Zdravotní a sociální péče
2017,23531,"Zemědělství, lesnictví, rybářství"
2017,29321,Zpracovatelský průmysl
2018,20166,Administrativní a podpůrné činnosti
2018,27060,Činnosti v oblasti nemovitostí
2018,29136,Doprava a skladování
2018,55475,Informační a komunikační činnosti
2018,26762,"Kulturní, zábavní a rekreační činnosti"
2018,21250,Ostatní činnosti
2018,53340,Peněžnictví a pojišťovnictví
2018,37163,"Profesní, vědecké a technické činnosti"
2018,27822,Stavebnictví
2018,35943,Těžba a dobývání
2018,18270,"Ubytování, stravování a pohostinství"
2018,28834,Velkoobchod a maloobchod; opravy a údržba motorových vozidel
2018,35715,Veřejná správa a obrana; povinné sociální zabezpečení
2018,45983,"Výroba a rozvod elektřiny, plynu, tepla a klimatiz. vzduchu"
2018,28048,Vzdělávání
2018,28272,Zásobování vodou; činnosti související s odpady a sanacemi
2018,31630,Zdravotní a sociální péče
2018,25115,"Zemědělství, lesnictví, rybářství"
2018,31646,Zpracovatelský průmysl
2019,21842,Administrativní a podpůrné činnosti
2019,29743,Činnosti v oblasti nemovitostí
2019,31161,Doprava a skladování
2019,57780,Informační a komunikační činnosti
2019,29346,"Kulturní, zábavní a rekreační činnosti"
2019,22556,Ostatní činnosti
2019,57456,Peněžnictví a pojišťovnictví
2019,39518,"Profesní, vědecké a technické činnosti"
2019,29695,Stavebnictví
2019,37006,Těžba a dobývání
2019,19805,"Ubytování, stravování a pohostinství"
2019,30910,Velkoobchod a maloobchod; opravy a údržba motorových vozidel
2019,38048,Veřejná správa a obrana; povinné sociální zabezpečení
2019,48931,"Výroba a rozvod elektřiny, plynu, tepla a klimatiz. vzduchu"
2019,31388,Vzdělávání
2019,30227,Zásobování vodou; činnosti související s odpady a sanacemi
2019,34250,Zdravotní a sociální péče
2019,27204,"Zemědělství, lesnictví, rybářství"
2019,33560,Zpracovatelský průmysl
2020,22649,Administrativní a podpůrné činnosti
2020,27612,Činnosti v oblasti nemovitostí
2020,31354,Doprava a skladování
2020,60132,Informační a komunikační činnosti
2020,29485,"Kulturní, zábavní a rekreační činnosti"
2020,22765,Ostatní činnosti
2020,57571,Peněžnictví a pojišťovnictví
2020,39640,"Profesní, vědecké a technické činnosti"
2020,30170,Stavebnictví
2020,37203,Těžba a dobývání
2020,18444,"Ubytování, stravování a pohostinství"
2020,30928,Velkoobchod a maloobchod; opravy a údržba motorových vozidel
2020,39929,Veřejná správa a obrana; povinné sociální zabezpečení
2020,51760,"Výroba a rozvod elektřiny, plynu, tepla a klimatiz. vzduchu"
2020,33656,Vzdělávání
2020,30868,Zásobování vodou; činnosti související s odpady a sanacemi
2020,38049,Zdravotní a sociální péče
2020,28215,"Zemědělství, lesnictví, rybářství"
2020,33521,Zpracovatelský průmysl
2021,23685,Administrativní a podpůrné činnosti
2021,30520,Činnosti v oblasti nemovitostí
2021,31619,Doprava a skladování
2021,62434,Informační a komunikační činnosti
2021,28681,"Kulturní, zábavní a rekreační činnosti"
2021,23280,Ostatní činnosti
2021,60539,Peněžnictví a pojišťovnictví
2021,40582,"Profesní, vědecké a technické činnosti"
2021,30007,Stavebnictví
2021,37875,Těžba a dobývání
2021,19281,"Ubytování, stravování a pohostinství"
2021,31993,Velkoobchod a maloobchod; opravy a údržba motorových vozidel
2021,39008,Veřejná správa a obrana; povinné sociální zabezpečení
2021,55272,"Výroba a rozvod elektřiny, plynu, tepla a klimatiz. vzduchu"
2021,32842,Vzdělávání
2021,31121,Zásobování vodou; činnosti související s odpady a sanacemi
2021,43535,Zdravotní a sociální péče
2021,27130,"Zemědělství, lesnictví, rybářství"
2021,34685,Zpracovatelský průmysl
