"rok","odvetvi","prumerna_mzda","potravina_nazev","potravina_prum_cena"
2006,Zásobování vodou; činnosti související s odpady a sanacemi,18241,Přírodní minerální voda uhličitá,8.0
2006,Zdravotní a sociální péče,17974,Přírodní minerální voda uhličitá,8.0
2006,Peněžnictví a pojišťovnictví,39353,Přírodní minerální voda uhličitá,8.0
2006,Ostatní činnosti,14955,Přírodní minerální voda uhličitá,8.0
2006,Činnosti v oblasti nemovitostí,17551,Přírodní minerální voda uhličitá,8.0
2006,Vzdělávání,18197,Přírodní minerální voda uhličitá,8.0
2006,"Profesní, vědecké a technické činnosti",23106,Pšeničná mouka hladká,7.0
2006,Informační a komunikační činnosti,34942,Pšeničná mouka hladká,7.0
2006,"Zemědělství, lesnictví, rybářství",14421,Pšeničná mouka hladká,7.0
2006,Doprava a skladování,18994,Pšeničná mouka hladká,7.0
2006,Zásobování vodou; činnosti související s odpady a sanacemi,18241,Pšeničná mouka hladká,7.0
2006,Zdravotní a sociální péče,17974,Pšeničná mouka hladká,7.0
2006,Peněžnictví a pojišťovnictví,39353,Pšeničná mouka hladká,7.0
2006,Ostatní činnosti,14955,Pšeničná mouka hladká,7.0
2006,Činnosti v oblasti nemovitostí,17551,Pšeničná mouka hladká,7.0
2006,Vzdělávání,18197,Pšeničná mouka hladká,7.0
2006,Administrativní a podpůrné činnosti,13414,Pšeničná mouka hladká,7.0
2006,"Výroba a rozvod elektřiny, plynu, tepla a klimatiz. vzduchu",28477,Pšeničná mouka hladká,7.0
2006,Veřejná správa a obrana; povinné sociální zabezpečení,22853,Pšeničná mouka hladká,7.0
2006,"Ubytování, stravování a pohostinství",11106,Pšeničná mouka hladká,7.0
2006,Velkoobchod a maloobchod; opravy a údržba motorových vozidel,17507,Pšeničná mouka hladká,7.0
2006,Těžba a dobývání,24018,Pšeničná mouka hladká,7.0
2006,Zpracovatelský průmysl,18277,Pšeničná mouka hladká,7.0
2006,Stavebnictví,17644,Pšeničná mouka hladká,7.0
2006,"Kulturní, zábavní a rekreační činnosti",15478,Pšeničná mouka hladká,7.0
2006,Těžba a dobývání,24018,Rajská jablka červená kulatá,58.0
2006,Zpracovatelský průmysl,18277,Rajská jablka červená kulatá,58.0
2006,Stavebnictví,17644,Rajská jablka červená kulatá,58.0
2006,"Kulturní, zábavní a rekreační činnosti",15478,Rajská jablka červená kulatá,58.0
2006,"Profesní, vědecké a technické činnosti",23106,Rajská jablka červená kulatá,58.0
